Nama,Singkatan
Sekolah Tinggi Ilmu Ushuluddin Darul Quran,
STAI Darunnajah Bogor,
Akademi Pariwisata Citra Buana Indonesia,
AMIK BSI Sukabumi,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Mutiara,
Sekolah Tinggi Teknologi Nusa Putra,
"STAI Al-Mas`udiyah, Sukabumi",
STAI Al-Masthuriyah Sukabumi,
STAI Daarussalam Sukabumi,
"STAI Kharisma Cicurug, Sukabumi",
"STAI Pelabuhan Ratu, Sukabumi",
STIBA Ar Raayah,
STISIP Widyapuri Mandiri,
STMIK Nusa Mandiri Sukabumi,
Institut Agama Islam Sukabumi,IAI Sukabumi
Universitas Nusa Putra,
STAI Al-Andina Sukabumi,
Akademi Kebidanan Cianjur,
Akademi Keperawatan Pemkab Cianjur,
Sekolah Tinggi Ilmu al-Qur'an Zad Cianjur,
Sekolah Tinggi Ilmu Kesehatan Cianjur,
Sekolah Tinggi Ilmu Kesehatan Permata Nusantara,
Sekolah Tinggi Teknologi Ar-rahmah Cianjur,
Sekolah Tinggi Teologi Cianjur,
Sekolah Tinggi Teologi Cipanas,
Sekolah Tinggi Teologi Presbyterian Shema,
Sekolah Tinggi Teologi SAPPI Ciranjang,
"STAI Al-Azhary Cianjur, Jawa Barat",
STAI Imam Syafi`i Cianjur,
STIS Nahdlatul Ulama Cianjur,
STIT Al-Azami Cianjur,
STIT Nurul Hikmah Cianjur,
Universitas Putra Indonesia,
Universitas Suryakancana,UNSUR
STISIP Guna Nusantara,
Sekolah Tinggi Agama Islam Al Ittihad Cianjur Jawa Barat,
Sekolah Tinggi Ilmu Tarbiyah Assa'idiyyah Cipanas Cianjur,
STAI Baitul Arqom Al-Islami Ciparay Bandung,
STAI Bhakti Persada Majalaya Bandung,
Sekolah Tinggi Ekonomi Islam Bina Muda Bandung,
"STAI Al-Falah Cicalengka, Bandung",
Sekolah Tinggi Kesehatan Indonesia Wirautama,
STIT At-Taqwa Ciparay Bandung,
Sekolah Tinggi Ilmu Tarbiyah Al-Ihsan Baleendah Bandung Jawa Barat,
Universitas Bale Bandung,UNIBBA
Sekolah Tinggi Teknologi Pratama Adi,
Akademi Kebidanan Dewi Sartika Bandung,
STAI YAMISA Soreang,
Sekolah Tinggi Teologia Kabar Baik,
Institut Teknologi Telkom,IT Telkom
Politeknik Telkom,
STISI TELKOM,
Universitas Telkom,
Institut Agama Islam Persis Bandung,IAI Persis Bandung
Politeknik Sali Al-Aitaam,
Sekolah Tinggi Teknologi Jawa Barat,
STAI PERSIS Bandung,
Sekolah Tinggi Ilmu Ekonomi Gema Widya Bangsa,
STAI Azzakiyah Ujungberung Bandung,
STAI YAPATA Al-Jawami Bandung,
Akademi Kebidanan Respati,
AMIK Al-Ma soem,
Institut Manajemen Koperasi Indonesia,Ikopin
Institut Pemerintahan Dalam Negeri,IPDN
Sekolah Tinggi Bahasa Asing Sebelas April Sumedang,
Sekolah Tinggi Ekonomi dan Bisnis Islam Muhammadiyah Sumedang,
Sekolah Tinggi Ilmu Administrasi Sebelas April,
Sekolah Tinggi Ilmu Ekonomi Sebelas April,
Sekolah Tinggi Ilmu Perbankan Syariah Al-Ma'soem Bandung,
Sekolah Tinggi Komputer Al Ma soem,
Sekolah Tinggi Teknologi Geusan Ulun,
STAI Sebelas April Sumedang,
Sekolah Tinggi Ilmu Kesehatan Sebelas April Sumedang,
STIS As-Sa'adah Sukasari Sumedang,
STKIP Sebelas April,
STMIK Sumedang,
Universitas Ma'soem,
Universitas Padjadjaran,Unpad
Universitas Sebelas April,Unsap
Akademi Keperawatan Pemkab Sumedang,
Akademi Keperawatan Bidara Mukti,
Akademi Keperawatan Pemkab Garut,
Akademi Manajemen Informatika Dan Komputer Garut,
Institut Teknologi Garut,ITG
Sekolah Tinggi Hukum Garut,
Sekolah Tinggi Ilmu Ekonomi Dan Bisnis Syariah Nahdlatul Ulama Garut,
Sekolah Tinggi Ilmu Kesehatan Garut,
STAI Al-Musaddadiyah Garut,
STAI Darul Arqam Muhammadiyah Garut,
STAI Muhammadiyah Garut,
STAI Persis Garut,
STAI Siliwangi Garut,
STISIP Samudera Indonesia Selatan,
Sekolah Tinggi Agama Islam KH Badruzzaman,
Sekolah Tinggi Ilmu Tarbiyah Qurrota Ayun,
Sekolah Tinggi Ekonomi Islam Yapisha Garut,
Akademi Kebidanan Karsa Husada Garut,
Akademi Kebidanan YPSDMI,
Institut Pendidikan Indonesia Garut,IPI Garut
Sekolah Tinggi Ilmu Ekonomi Yasa Anggana,
Sekolah Tinggi Teknologi Garut,
Sekolah Tinggi Ilmu Kesehatan Karsa Husada Garut,
STKIP Garut,
Universitas Garut,Uniga
AMIK BSI Tasikmalaya,
"Institut Agama Islam Cipasung  Cipasung, Singaparna, Tasikmalaya",IAIC
Institut Agama Islam Latifah Mubarokiyah Suryalaya Tasikmalaya,IAILM
Sekolah Tinggi Agama Islam Al Bayan Sulawesi Selatan,
Sekolah Tinggi Agama Islam Al-Ruzhan,
Sekolah Tinggi Ilmu Kesehatan Respati,
Sekolah Tinggi Ilmu Syariah Wal Aqidah Ash-Shofa Manonjaya,
Sekolah Tinggi Ilmu Tarbiyah Az Zahra Tasikmalaya,
STAI Miftahul Ulum Tasikmalaya,
Universitas Cipasung Tasikmalaya,
Sekolah Tinggi Ilmu Ekonomi Cipasung,
Sekolah Tinggi Ilmu Ekonomi Latifah Mubarokiyah,
Sekolah Tinggi Ilmu Ekonomi Syariah Saleh Budiman,
Sekolah Tinggi Teknologi Cipasung,
Institut Agama Islam Darussalam  Ciamis Jawa Barat,IAID
Sekolah Tinggi Ilmu Dakwah Sirnarasa,
STAI Al-Ma`arif Ciamis,
STAI Putra Galuh Ciamis,
STEI Ar Risalah Ciamis Jawa Barat,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Ciamis,
Universitas Galuh,
Sekolah Tinggi Ilmu Tarbiyah Lakbok,
Sekolah Tinggi Ilmu Kesehatan Kuningan,
Sekolah Tinggi Ilmu Syariah Husnul Khotimah Kuningan,
STKIP Muhammadiyah Kuningan,
Universitas Islam Al-Ihya Kuningan,UNISA
Universitas Kuningan,UNIKU
Akademi Farmasi Muhammadiyah Kabupaten Kuningan,
STAI Al-Ihya Kuningan,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kuningan,
Sekolah Tinggi Ilmu Al Quran Al Multazam,
Akademi Keperawatan YPIB Majalengka,
Akademi Manajemen Informatika Dan Komputer Yasika,
Sekolah Tinggi Alkitab Penyebaran Injil Majalengka,
Sekolah Tinggi Ilmu Ekonomi Stmy,
Sekolah Tinggi Ilmu Kesehatan YPIB,
STAI PUI Majalengka,
STKIP Yasika,
Universitas Majalengka,UNMA
Akademi Analis Kesehatan An Nasher Cirebon,
Akademi Kebidanan Graha Husada Cirebon,
Akademi Keperawatan Buntet Pesantren,
Akademi Keperawatan Muhammadiyah Cirebon,
Akademi Maritim Suaka Bahari,
AMIK Bumi Nusantara,
Institut Agama Islam Bunga Bangsa Cirebon,
Institut Studi Islam Fahmina ,ISIF
Sekolah Tinggi Ilmu Bahasa Asing Invada,
Sekolah Tinggi Ilmu Ekonomi Cirebon,
Sekolah Tinggi Ilmu Ekonomi Yasmi,
Sekolah Tinggi Ilmu Kesehatan Cirebon,
Sekolah Tinggi Ilmu Kesehatan Khas Kempek,
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto,
Sekolah Tinggi Ilmu Komputer Poltek Cirebon,
Sekolah Tinggi Ilmu Tarbiyah Buntet Pesantren Cirebon Jawa Barat,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Invada Cirebon,
Sekolah Tinggi Sains Islam Bina Cendekia Utama Cirebon,
STAI Bunga Bangsa Cirebon,
STAI Cirebon,
STAI Ma'had Ali Cirebon,
STEI Al-Ishlah Bobos Dukupuntang Cirebon,
STID Al-Biruni Babakan Ciwaringin,
Sekolah Tinggi Ilmu Kesehatan An Nasher Cirebon,
Akademi Farmasi Muhammadiyah Cirebon,
Institut Agama Islam Cirebon,IAI Cirebon
Sekolah Tinggi Farmasi Muhammadiyah Cirebon,
Universitas Muhammadiyah Cirebon,UMC
Akademi Kebidanan Sayid Sabiq Indramayu,
Akademi Keperawatan Pemkab Indramayu,
Akademi Keperawatan Saifuddin Zuhri,
Akademi Minyak Dan Gas Balongan,
AMIK Purnama Niaga,
Institut Agama Islam Az-Zaytun Indonesia,
Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,
Sekolah Tinggi Ilmu Dakwah dan Komunikasi Islam Nahdlatul Ulama Indramayu,
Sekolah Tinggi Ilmu Kesehatan Indramayu,
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al-Amin Indramayu,
STAI Sayid Sabiq Indramayu,
STIT Al-Amin Indramayu,
STKIP Nahdlatul Ulama Indramayu,
STKIP Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu,
Universitas Wiralodra,UNWIR
Politeknik Indramayu,
Politeknik Negeri Indramayu,
Akademi Kebidanan Bhakti Nugraha,
Akademi Keperawatan Pemkab Subang,
Politeknik Agroindustri,
Politeknik Negeri Subang,
Sekolah Tinggi Ekonomi Islam Nahdlatul Ulama Subang Jawa Barat,
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,
Sekolah Tinggi Ilmu Ekonomi Sutaatmadja,
Sekolah Tinggi Teknologi Texmaco,
STAI Miftahul Huda Pamanukan Subang,
STAI Riyadhul Jannah Subang,
STEI Al Amar Subang Jawa Barat,
STMIK Subang,
Universitas Mandiri,
Universitas Subang,UNSUB
STKIP Subang,
Sekolah Tinggi Agama Islam Darussalam Kunir,
Akademi Akuntansi Perdana Mandiri,
Akademi Keperawatan RS Efarina,
Akademi Manajemen Informatika Dan Komputer YPAT,
Politeknik Enjinering Indorama,
Politeknik Perdana Mandiri,
Sekolah Tinggi Agama Islam Al Badar Cipulus Purwakarta,
Sekolah Tinggi Ilmu Ekonomi Dr Kh Ez Mutaqien,
Sekolah Tinggi Ilmu Ekonomi Wibawa Karta Raharja,
Sekolah Tinggi Ilmu Kesehatan Holistik,
Sekolah Tinggi Teknologi Dr Kh Ez Muttaqien,
Sekolah Tinggi Teknologi Wastukancana,
STAI Al-Muhajirin Purwakarta,
STAI Dr. KH. EZ. Muttaqien Purwakarta,
Sekolah Tinggi Ilmu Ekonomi Bisnis Perdana Mandiri,
"Sekolah Tinggi Ilmu Ekonomi Syariah Indonesia Purwakarta, Jawa Barat",
STKIP Purwakarta,
Universitas Kartamulia Purwakarta,
Universitas Purwakarta,UNPUR
STMIK Ganesha Bandung,
Akademi Kebidanan Bhakti Asih Purwakarta,
Politeknik Bhakti Asih Purwakarta,
Akademi Kebidanan Kharisma Pangkal Perjuangan,
Akademi Keperawatan Kharisma,
Akademi Refraksi Optisi Polycore Indonesia,
AMIK BSI Karawang,
Politeknik Kelautan dan Perikanan Karawang,
Politeknik Tri Mitra Karya Mandiri,
Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,
Sekolah Tinggi Ilmu Ekonomi YPN,
Sekolah Tinggi Ilmu Kesehatan Horizon Karawang,
Sekolah Tinggi Ilmu Tarbiyah Rakeyan Santang Karawang Jawa Barat,
Sekolah Tinggi Manajemen Informatika dan Komputer Horizon Karawang,
Sekolah Tinggi Teknik Karawang,
Sekolah Tinggi Teknologi Informatika Sony Sugema,
Sekolah Tinggi Teknologi Muhammadiyah Karawang,
STAI Asshiddiqiyah Karawang,
STEI Bina Cipta Madani,
Sekolah Tinggi Ilmu Kesehatan Kharisma Karawang,
STMIK Kharisma Karawang,
STMIK Pamitran,
STMIK Rosma,
Universitas Buana Perjuangan Karawang,UBP
Universitas Singaperbangsa Karawang,UNSIKA
Akademi Kebidanan Bhakti Husada Cikarang,
Akademi Keperawatan Bhakti Husada Cikarang,
Akademi Perpajakan Padang Bekasi,
Akademi Sekretari Dan Manajemen Insulindo,
Akademi Teknik Mesin Industri Cikarang,
AMIK Al-Muslim Bekasi,
AMIK MIC Cikarang,
AMIK Sultan Agung,
Institut Agama Islam Shalahuddin Al-Ayyubi  Tambun Bekasi,INISA
Institut Teknologi Sains Bandung,ITSB
Politeknik Bina Madani,
Politeknik Industri ATMI,
Politeknik Kelapa Sawit Citra Widya Edukasi,
Politeknik Transportasi Darat Indonesia ,
Sekolah Tinggi Ilmu Ekonomi JIU,
Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,
Sekolah Tinggi Bahasa Asing Jiu,
Sekolah Tinggi Ekonomi Islam Haji Abdul Malik Cikarang Barat,
Sekolah Tinggi Ilmu Ekonomi BII Bekasi,
Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,
Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,
Sekolah Tinggi Ilmu Ekonomi Pertiwi,
Sekolah Tinggi Ilmu Tarbiyah Nusantara Bekasi,
Sekolah Tinggi Manajemen Informatika dan Komputer Al Muslim,
Sekolah Tinggi Teknik Cikarang,
Sekolah Tinggi Teknologi Duta Bangsa,
Sekolah Tinggi Transportasi Darat Bekasi,
STAI At-Taqwa Bekasi,
STAI Haji Agus Salim Cikarang Bekasi,
STAI Nur El Ghazy Bekasi,
STAI Pelita Bangsa,
STID Mohammad Natsir Bekasi,
STMIK Cikarang,
STMIK MIC Cikarang,
Sekolah Tinggi Teologi  Tabernakel Kemuliaan-Nya,
Universitas Medika Suherman,UMS
Universitas Pelita Bangsa,
Sekolah Tinggi Ekonomi dan Bisnis Islam Yayasan Pelita Ilmu Insani,
Sekolah Tinggi Ilmu Kesehatan Prima Indonesia,
Sekolah Tinggi Teologi  PAIS JAKARTA,
Sekolah Tinggi Ilmu Tarbiyah Hidayatunnajah Bekasi,
Institut Medika Drg. Suherman,UMS
Politeknik Meta Industri Cikarang,
Sekolah Tinggi Ilmu Kesehatan Cikarang,
STEBI Global Mulia Cikarang,
Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa,
Universitas Presiden,
Akademi Kebidanan Tri Dharma Husada Bandung,
Sekolah Tinggi Alkitab Tiranus Bandung,
Sekolah Tinggi Ekonomi Bisnis Islam Bina Essa,
Sekolah Tinggi Ekonomi Islam LPPM,
Sekolah Tinggi Teologi Misi Tuaian Semesta Bandung,
Sekolah Tinggi Teologi Mitra,
STAI Darul Falah Cililin Cihampelas Bandung Barat,
Universitas Advent Indonesia,UNAI
Sekolah Tinggi Ilmu Kesehatan Santo Borromeus,
Akademi Metrologi dan Instrumentasi,
Politeknik Kelautan dan Perikanan Pangandaran,
Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama Al-Farabi Pangandaran,
Akademi Akuntansi Bandung,
Akademi Analis Kesehatan Bakti Asih,
Akademi Bahasa Asing Internasional Bandung,
Akademi Farmasi Bumi Siliwangi,
Akademi Farmasi YPF,
Akademi Industri Tekstil Bandung,
Akademi Kebidanan Aisyiyah Bandung,
Akademi Kebidanan Ar-Rahmah Bandung,
Akademi Kebidanan Bandung,
Akademi Keperawatan Aisyiyah Bandung,
Akademi Keperawatan Bhakti Kencana Bandung,
Akademi Keperawatan Bidaramukti,
Akademi Keperawatan Kebonjati,
Akademi Keperawatan PPNI Jawa Barat,
Akademi Keuangan dan Bisnis Indonesia Internasional,
Akademi Manajemen Informatika Dan Komputer Hass,
Akademi Pariwisata Bina Sarana Informatika Bandung,
Akademi Pariwisata Ars Internasional,
Akademi Pariwisata Bandung,
Akademi Pariwisata Nasional Indonesia Bandung,
Akademi Pariwisata NHI Bandung,
Akademi Pariwisata Sandhy Putra,
Akademi Perekam Medis & Informatika Kesehatan Bandung,
Akademi Sekretari Dan Manajemen Ariyanti,
Akademi Sekretari Dan Manajemen BSI Bandung,
Akademi Sekretari Manajemen Taruna Bakti,
Akademi Sekretaris Dan Manajemen Kencana Bandung,
Akademi Tata Boga Bandung,
Akademi Teknologi Aeronautika Siliwangi,
Akademi Teknologi Bandung,
AMIK BSI Bandung,
Institut Kesehatan Rajawali,
Institut Manajemen Telkom,
Institut Seni Budaya Indonesia Bandung,ISBI Bandung
Institut Teknologi Bandung,ITB
Institut Teknologi Harapan Bangsa,ITHB
Institut Teknologi Nasional Bandung,ITENAS
Politeknik AKMB Bandung,
Politeknik Al-Islam Bandung,
Politeknik Energi dan Pertambangan Bandung,
Politeknik Garuda Nusantara Bandung,
Politeknik Geologi Dan Pertambangan Agp,
Politeknik Kesehatan TNI-AU Ciumbuleuit,
Politeknik Kesejahteraan Sosial Bandung,
Politeknik Komputer Niaga Lpkia,
Politeknik Kridatama Bandung,
Politeknik Lembaga Pendidikan dan Pengembangan Profesi Indonesia,
Politeknik LP3I Bandung,
Politeknik Manufaktur Bandung,
Politeknik Manufaktur Igasa Pindad,
Politeknik Negeri Bandung,
Politeknik Pajajaran Insan Cinta Bangsa Bandung,
Politeknik Piksi Ganesha,
Politeknik Pos Indonesia,
Politeknik Praktisi Bandung,
Politeknik Sekolah Tinggi Teologi T Bandung,
Poltekkes Kemenkes Bandung,
Sekolah Tinggi Analis Bakti Asih,
Sekolah Tinggi Bahasa Asing Yapari,
Sekolah Tinggi Desain Indonesia Bandung,
Sekolah Tinggi Ekonomi Manajemen Bisnis Islam Bandung,
Sekolah Tinggi Ekonomi dan Bisnis Islam Al Jabar Bandung Jawa Barat,
Sekolah Tinggi Farmasi Bandung,
Sekolah Tinggi Hukum Bandung,
Sekolah Tinggi Ilmu Administrasi Bagasasi,
Sekolah Tinggi Ilmu Administrasi Bandung,
Sekolah Tinggi Ilmu Ekonomi AKPI,
Sekolah Tinggi Ilmu Ekonomi Ekuitas,
Sekolah Tinggi Ilmu Ekonomi Harapan Bangsa,
Sekolah Tinggi Ilmu Ekonomi Indonesia Membangun ,Inaba
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Bandung,
Sekolah Tinggi Ilmu Ekonomi Pariwisata YAPARI,
Sekolah Tinggi Ilmu Ekonomi Pasundan,
Sekolah Tinggi Ilmu Ekonomi Soemita Adikoesoema,
Sekolah Tinggi Ilmu Ekonomi Stan Im,
Sekolah Tinggi Ilmu Ekonomi STEMBI,
Sekolah Tinggi Ilmu Ekonomi Tridharma,
Sekolah Tinggi Ilmu Keperawatan PPNI Jawa Barat,
Sekolah Tinggi Ilmu Kesehatan 'Aisyiyah Bandung,
Sekolah Tinggi Ilmu Kesehatan Bhakti Kencana,
Sekolah Tinggi Ilmu Kesehatan Dharma Husada,
Sekolah Tinggi Ilmu Kesehatan Immanuel Bandung,
Sekolah Tinggi Ilmu Komunikasi Bandung,
Sekolah Tinggi Kesejahteraan Sosial,
Sekolah Tinggi Manajemen Bisnis Telkom,
Sekolah Tinggi Manajemen Logistik Indonesia,
Sekolah Tinggi Pariwisata Ars Internasional,
Sekolah Tinggi Pariwisata Bandung,
Sekolah Tinggi Sains Dan Teknologi Indonesia,
Sekolah Tinggi Seni Indonesia Bandung,
Sekolah Tinggi Seni Musik Bandung,
Sekolah Tinggi Teknologi Bandung,
Sekolah Tinggi Teknologi Indonesia,
Sekolah Tinggi Teknologi Mandala,
Sekolah Tinggi Teknologi Nasional Bandung,
Sekolah tinggi Teknologi Tekstil Bandung,
Sekolah Tinggi Teknologi YBS Internasional,
Sekolah Tinggi Teologi Bandung,
Sekolah Tinggi Teologi Baptis Bandung,
Sekolah Tinggi Teologi Inti Bandung,
Sekolah Tinggi Teologi Kharisma Bandung,
STAI Muhammadiyah Bandung,
STAI Sabili Bandung,
STISI Bandung,
STIT At-Taqwa Gegerkalong Bandung,
STKIP Persatuan Islam,
STMIK Amik Bandung,
STMIK Bandung,
STMIK IM,
STMIK Jabar,
STMIK LPKIA Bandung,
STMIK Mardira Indonesia,
STMIK Tulus Cendekia,
Sekolah Tinggi Teologi  Kalam Mulia Bandung,
Universitas 'Aisyiyah Bandung,UNISA Bandung
Universitas Adhirajasa Reswara Sanjaya,ARS
Universitas Al-ghifari,
Universitas Adhirajasa Reswara Sanjaya Internasional,
Universitas Bandung Raya,UNBAR
Universitas Bhakti Kencana,BKU
Universitas BSI,
Universitas Halim sanusi,UHS
Universitas Indonesia Membangun,INABA
Universitas Informatika Dan Bisnis Indonesia,UNIBI
Universitas Insan Cendekia Mandiri,UICM
Universitas Islam Nusantara,UNINUS
Universitas Katolik Parahyangan,UNPAR
Universitas Kebangsaan,
Universitas Kebangsaan Republik Indonesia,UKRI
Universitas Komputer Indonesia,UNIKOM
Universitas Kristen Maranatha,
Universitas Langlang Buana,
Universitas Muhammadiyah Bandung,UMBandung
Universitas Nasional Pasim,
Universitas Nurtanio Bandung,UNNUR
Universitas Pendidikan Indonesia,UPI
Universitas Persatuan Islam,UNIPI
Universitas Sangga Buana,
Universitas Wanita Internasional,IWU
Universitas Winaya Mukti,
Sekolah Tinggi Farmasi Indonesia,
Sekolah Tinggi Ilmu Ekonomi Kridatama Bandung,
Sekolah Tinggi Pertanian Jawa Barat,
Universitas Islam Negeri Sunan Gunung Djati,UIN Bandung
Akademi Kebidanan Medica Obgin,
Sekolah Tinggi Ilmu Ekonomi Dharma Negara,
STMIK Dharma Negara,
Sekolah Tinggi Teknologi Mineral Indonesia,
Sekolah Tinggi Ilmu Kesehatan Rajawali,
Sekolah Tinggi Teknologi Kreatif Bina Nusantara Bandung,
Politeknik Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara Bandung,
STIA-Lembaga Administrasi Negara Bandung,
Universitas Islam Bandung,UNISBA
Universitas Widyatama,
STMIK Likmi,
Sekolah Tinggi Agama Islam Daarut Tauhiid,
Universitas Pasundan,Unpas
Akademi Kebidanan Prima Husada,
Akademi Kebidanan Wijaya Husada Bogor,
Akademi Kimia Analisis,
Akademi Manajemen Informatika Dan Komputer Bogor,
Akademi Manajemen Kesatuan Bogor,
Akademi Pariwisata Bogor BHI,
Akademi Sekretari Dan Manajemen Tunas Harapan,
Akademi Telekomunikasi Bogor,
Institut Bisnis Dan Informatika Kesatuan,IBI Kesatuan
Politeknik Kent,
Politeknik Pembangunan Pertanian Bogor,
"Sekolah Tinggi Ekonomi Islam Tazkia, Bogor",
Sekolah Tinggi Ilmu Ekonomi Binaniaga,
Sekolah Tinggi Ilmu Ekonomi Kesatuan,
Sekolah Tinggi Ilmu Ekonomi Triguna,
Sekolah Tinggi Ilmu Hukum Dharma Andhiga,
Sekolah Tinggi Ilmu Komputer El Rahma,
Sekolah Tinggi Matematika & Ilmu Pengetahuan Alam,
Sekolah Tinggi Pariwisata Bogor,
Sekolah Tinggi Penyuluhan Pertanian Bogor,
STAI Al-Hidayah Bogor,
Sekolah Tinggi Ilmu Kesehatan Wijaya Husada Bogor,
STIT Insan Kamil Bogor Jawa Barat,
Universitas Binaniaga Indonesia,UNBIN
Universitas Ibn Khaldun Bogor,
Universitas Nusa Bangsa,
Akademi Sekretari Triguna,
Akademi Teknologi Bogor,
Sekolah Tinggi Ilmu Komputer Binaniaga,
Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,
Universitas Pakuan,UNPAK
Akademi Kebidanan Bogor Husada,
Sekolah Tinggi Ilmu Kesehatan Bogor Husada,
Sekolah Tinggi Teknologi Telematika Cakrawala,
AMIK Citra Buana Indonesia,
Institut Manajemen Wiyata Indonesia,IMWI
Politeknik Bina Budaya Cipta,
Politenik Kesehatan Yapkesbi,
Sekolah Tinggi Hukum Pasundan,
Sekolah Tinggi Ilmu Ekonomi Penguji Sukabumi,
Sekolah Tinggi Ilmu Ekonomi PGRI Sukabumi,
Sekolah Tinggi Ilmu Ekonomi Syariah Sayaga Saniskara Nusantara,
Sekolah Tinggi Ilmu Kesehatan Sukabumi,
Sekolah Tinggi Manajemen Informatika dan Komputer Al-Fath,
STAI Sukabumi,
STAI Syamsul Ulum Gunung Puyuh,
Sekolah Tinggi Ilmu Ekonomi Pasim Sukabumi,
STKIP PGRI Sukabumi,
STMIK Pasim Sukabumi,
Universitas Muhammadiyah Sukabumi,UMMI 
Politeknik Sukabumi,
STISIP Syamsul Ulum,
Akademi Kebidanan Isma Husada Cirebon,
Akademi Kebidanan Muhammadiyah Cirebon,
Akademi Keperawatan Dharma Husada Cirebon,
Akademi Maritim Cirebon,
Akademi Pariwisata Yasmi,
Akademi Perdagangan Catur Insan Cendekia,
AMIK Andalan Jakarta,
IAIN Syekh Nurjati Cirebon,
Politeknik Kesehatan Bhakti Pertiwi Husada,
Politeknik Pariwisata Prima Internasional,
Sekolah Tinggi Bahasa Asing Cirebon,
Sekolah Tinggi Farmasi YPIB Cirebon,
Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,
Sekolah Tinggi Ilmu Kesehatan Mahardika Cirebon,
Sekolah Tinggi Teknologi Cirebon,
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Cirebon,
STMIK WIT Cirebon,
Universitas 17 Agustus 1945 Cirebon,
Universitas Catur Insan Cendekia,CIC
Universitas Nahdlatul Ulama Cirebon,UNU Cirebon
Sekolah Tinggi Manajemen Informatika dan Komputer CIC,
STMIK IKMI Cirebon,
Universitas Swadaya Gunung Jati,UGJ
Akademi Akuntansi Bina Insani,
Akademi Kebidanan Farama Mulya,
Akademi Kebidanan Gema Nusantara Bekasi,
Akademi Kebidanan Suka Wangi Bekasi,
Akademi Keperawatan As-Syafi iyah Bekasi,
Akademi Komunikasi Radio Dan Televisi Hutama,
Akademi Perdagangan Bandung,
Akademi Radiognostik Dan Radioterapi Yapenpernus,
Akademi Sekretari Dan Manajemen Bina Insani,
Akademi Teknologi Patriot,
AMIK BSI Bekasi,
Institut Bisnis Muhammadiyah Bekasi,IBM Bekasi
Politeknik Bhakti Kartini,
Politeknik Gunakarya Indonesia Bekasi,
Politeknik Mitra Kusuma,
Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto,
Sekolah Tinggi Bahasa Asing IEC Bekasi,
Sekolah Tinggi Ilmu Administrasi Kawula Indonesia,
Sekolah Tinggi Ilmu Administrasi Kawula Indonesia,
Sekolah Tinggi Ilmu Administrasi Sandikta,
Sekolah Tinggi Ilmu Ekonom Syari'ah Mitra Karya Bekasi Jawa Barat,
Sekolah Tinggi Ilmu Ekonomi Adhy Niaga,
Sekolah Tinggi Ilmu Ekonomi Mulia Pratama,
Sekolah Tinggi Ilmu Kesehatan Bani Saleh,
Sekolah Tinggi Ilmu Kesehatan Medistra Indonesia,
Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,
Sekolah Tinggi Teknologi Bina Tunggal,
Sekolah Tinggi Teknologi Jakarta,
Sekolah Tinggi Teologi Bethesda,
Sekolah Tinggi Teologi Kenos Jakarta,
STAI Bani Saleh Bekasi,
STAI Duta Bangsa Bekasi,
STIT Al-Marhalah Al-`Ulya Bekasi,
STKIP Panca Sakti Bekasi,
STMIK Abdi Negara,
STMIK Bani Saleh,
STMIK Bina Insani,
STMIK Mercusuar,
Sekolah Tinggi Teologi  Bethel Bekasi,
Sekolah Tinggi Teologi  Kerusso Indonesia Bekasi,
Sekolah Tinggi Teologi  Lighthouse Equipping Theological School,Lets
Universitas Indonesia Mandiri,UIMandiri
Universitas Islam 45,UNISMA Bekasi
Universitas Islam As-syafiiyah,
Universitas Panca Sakti Bekasi,PSU
STIU Darul Hikmah Bekasi,
Sekolah Tinggi Bahasa Asing JIA,
Sekolah Tinggi Ilmu Ekonomi Tribuana,
Sekolah Tinggi Ilmu Kesehatan Mitra Keluarga,
Sekolah Tinggi Teologi Katharos Indonesia Bekasi,
STMIK Pranata Indonesia,
Sekolah Tinggi Ilmu Ekonomi Tri Bhakti,
Sekolah Tinggi Teknologi Mitra Karya,
STMIK Mikar,
Universitas Mitra Karya,MiKar
Akademi Kebidanan Prima Indonesia,
Universitas Bina Insani,BiU
Institut Elkatarie,
Poltekkes Kemenkes Jakarta III,
